"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"20-Nov-1992","        0.00","        0.00","        0.00","      712.21","-","-"
"23-Nov-1992","        0.00","        0.00","        0.00","      727.85","-","-"
"24-Nov-1992","        0.00","        0.00","        0.00","      734.06","-","-"
"25-Nov-1992","        0.00","        0.00","        0.00","      742.40","-","-"
"26-Nov-1992","        0.00","        0.00","        0.00","      723.14","-","-"
"27-Nov-1992","        0.00","        0.00","        0.00","      720.86","-","-"
"30-Nov-1992","        0.00","        0.00","        0.00","      726.38","-","-"
"01-Dec-1992","        0.00","        0.00","        0.00","      737.28","-","-"
"02-Dec-1992","        0.00","        0.00","        0.00","      751.85","-","-"
"03-Dec-1992","        0.00","        0.00","        0.00","      762.16","-","-"
"04-Dec-1992","        0.00","        0.00","        0.00","      785.57","-","-"
"10-Dec-1992","        0.00","        0.00","        0.00","      745.06","-","-"
"11-Dec-1992","        0.00","        0.00","        0.00","      740.91","-","-"
"14-Dec-1992","        0.00","        0.00","        0.00","      722.26","-","-"
"15-Dec-1992","        0.00","        0.00","        0.00","      718.83","-","-"
"16-Dec-1992","        0.00","        0.00","        0.00","      690.67","-","-"
"17-Dec-1992","        0.00","        0.00","        0.00","      695.82","-","-"
"18-Dec-1992","        0.00","        0.00","        0.00","      719.07","-","-"
"21-Dec-1992","        0.00","        0.00","        0.00","      739.48","-","-"
"22-Dec-1992","        0.00","        0.00","        0.00","      746.52","-","-"
"23-Dec-1992","        0.00","        0.00","        0.00","      748.00","-","-"
"24-Dec-1992","        0.00","        0.00","        0.00","      761.31","-","-"
"04-Jan-1993","        0.00","        0.00","        0.00","      744.92","-","-"
"05-Jan-1993","        0.00","        0.00","        0.00","      733.49","-","-"
"06-Jan-1993","        0.00","        0.00","        0.00","      717.85","-","-"
"07-Jan-1993","        0.00","        0.00","        0.00","      705.00","-","-"
"08-Jan-1993","        0.00","        0.00","        0.00","      709.65","-","-"
"14-Jan-1993","        0.00","        0.00","        0.00","      721.21","-","-"
"15-Jan-1993","        0.00","        0.00","        0.00","      740.35","-","-"
"18-Jan-1993","        0.00","        0.00","        0.00","      758.07","-","-"
"19-Jan-1993","        0.00","        0.00","        0.00","      750.55","-","-"
"20-Jan-1993","        0.00","        0.00","        0.00","      742.21","-","-"
"21-Jan-1993","        0.00","        0.00","        0.00","      745.06","-","-"
"22-Jan-1993","        0.00","        0.00","        0.00","      746.72","-","-"
"25-Jan-1993","        0.00","        0.00","        0.00","      751.26","-","-"
"27-Jan-1993","        0.00","        0.00","        0.00","      763.71","-","-"
"28-Jan-1993","        0.00","        0.00","        0.00","      777.92","-","-"
"29-Jan-1993","        0.00","        0.00","        0.00","      785.28","-","-"
"01-Feb-1993","        0.00","        0.00","        0.00","      772.75","-","-"
"02-Feb-1993","        0.00","        0.00","        0.00","      780.12","-","-"
"03-Feb-1993","        0.00","        0.00","        0.00","      780.44","-","-"
"04-Feb-1993","        0.00","        0.00","        0.00","      772.80","-","-"
"05-Feb-1993","        0.00","        0.00","        0.00","      775.17","-","-"
"08-Feb-1993","        0.00","        0.00","        0.00","      792.17","-","-"
"09-Feb-1993","        0.00","        0.00","        0.00","      807.34","-","-"
"10-Feb-1993","        0.00","        0.00","        0.00","      819.42","-","-"
"11-Feb-1993","        0.00","        0.00","        0.00","      813.08","-","-"
"12-Feb-1993","        0.00","        0.00","        0.00","      802.44","-","-"
"15-Feb-1993","        0.00","        0.00","        0.00","      773.89","-","-"
"16-Feb-1993","        0.00","        0.00","        0.00","      764.12","-","-"
"17-Feb-1993","        0.00","        0.00","        0.00","      771.31","-","-"
"18-Feb-1993","        0.00","        0.00","        0.00","      779.04","-","-"
"22-Feb-1993","        0.00","        0.00","        0.00","      791.08","-","-"
"23-Feb-1993","        0.00","        0.00","        0.00","      800.09","-","-"
"24-Feb-1993","        0.00","        0.00","        0.00","      803.47","-","-"
"25-Feb-1993","        0.00","        0.00","        0.00","      815.84","-","-"
"26-Feb-1993","        0.00","        0.00","        0.00","      821.99","-","-"
"27-Feb-1993","        0.00","        0.00","        0.00","      774.18","-","-"
"01-Mar-1993","        0.00","        0.00","        0.00","      749.89","-","-"
"02-Mar-1993","        0.00","        0.00","        0.00","      742.92","-","-"
"03-Mar-1993","        0.00","        0.00","        0.00","      748.32","-","-"
"04-Mar-1993","        0.00","        0.00","        0.00","      739.30","-","-"
"05-Mar-1993","        0.00","        0.00","        0.00","      721.09","-","-"
"09-Mar-1993","        0.00","        0.00","        0.00","      681.61","-","-"
"10-Mar-1993","        0.00","        0.00","        0.00","      670.54","-","-"
"11-Mar-1993","        0.00","        0.00","        0.00","      680.78","-","-"
"12-Mar-1993","        0.00","        0.00","        0.00","      697.11","-","-"
"15-Mar-1993","        0.00","        0.00","        0.00","      706.40","-","-"
"16-Mar-1993","        0.00","        0.00","        0.00","      716.66","-","-"
"17-Mar-1993","        0.00","        0.00","        0.00","      702.47","-","-"
"18-Mar-1993","        0.00","        0.00","        0.00","      698.33","-","-"
"19-Mar-1993","        0.00","        0.00","        0.00","      694.16","-","-"
"22-Mar-1993","        0.00","        0.00","        0.00","      699.88","-","-"
"23-Mar-1993","        0.00","        0.00","        0.00","      691.93","-","-"
"26-Mar-1993","        0.00","        0.00","        0.00","      679.03","-","-"
"29-Mar-1993","        0.00","        0.00","        0.00","      660.32","-","-"
"30-Mar-1993","        0.00","        0.00","        0.00","      644.08","-","-"
"31-Mar-1993","        0.00","        0.00","        0.00","      660.51","-","-"
"02-Apr-1993","        0.00","        0.00","        0.00","      671.36","-","-"
"07-Apr-1993","        0.00","        0.00","        0.00","      694.90","-","-"
"08-Apr-1993","        0.00","        0.00","        0.00","      670.59","-","-"
"12-Apr-1993","        0.00","        0.00","        0.00","      648.21","-","-"
"13-Apr-1993","        0.00","        0.00","        0.00","      648.87","-","-"
"15-Apr-1993","        0.00","        0.00","        0.00","      666.66","-","-"
"16-Apr-1993","        0.00","        0.00","        0.00","      669.45","-","-"
"19-Apr-1993","        0.00","        0.00","        0.00","      661.05","-","-"
"20-Apr-1993","        0.00","        0.00","        0.00","      644.64","-","-"
"21-Apr-1993","        0.00","        0.00","        0.00","      641.54","-","-"
"22-Apr-1993","        0.00","        0.00","        0.00","      631.60","-","-"
"23-Apr-1993","        0.00","        0.00","        0.00","      618.98","-","-"
"26-Apr-1993","        0.00","        0.00","        0.00","      599.51","-","-"
"27-Apr-1993","        0.00","        0.00","        0.00","      605.22","-","-"
"28-Apr-1993","        0.00","        0.00","        0.00","      619.99","-","-"
"29-Apr-1993","        0.00","        0.00","        0.00","      627.55","-","-"
"30-Apr-1993","        0.00","        0.00","        0.00","      622.42","-","-"
"03-May-1993","        0.00","        0.00","        0.00","      613.44","-","-"
"04-May-1993","        0.00","        0.00","        0.00","      626.05","-","-"
"05-May-1993","        0.00","        0.00","        0.00","      637.85","-","-"
"07-May-1993","        0.00","        0.00","        0.00","      653.98","-","-"
"10-May-1993","        0.00","        0.00","        0.00","      659.51","-","-"
"11-May-1993","        0.00","        0.00","        0.00","      676.42","-","-"
"12-May-1993","        0.00","        0.00","        0.00","      676.02","-","-"
"13-May-1993","        0.00","        0.00","        0.00","      675.79","-","-"
"14-May-1993","        0.00","        0.00","        0.00","      693.81","-","-"
"17-May-1993","        0.00","        0.00","        0.00","      680.80","-","-"
"18-May-1993","        0.00","        0.00","        0.00","      683.92","-","-"
"21-May-1993","        0.00","        0.00","        0.00","      695.25","-","-"
"24-May-1993","        0.00","        0.00","        0.00","      690.26","-","-"
"25-May-1993","        0.00","        0.00","        0.00","      674.84","-","-"
"26-May-1993","        0.00","        0.00","        0.00","      665.65","-","-"
"27-May-1993","        0.00","        0.00","        0.00","      658.75","-","-"
"28-May-1993","        0.00","        0.00","        0.00","      647.67","-","-"
"31-May-1993","        0.00","        0.00","        0.00","      656.16","-","-"
"02-Jun-1993","        0.00","        0.00","        0.00","      670.25","-","-"
"03-Jun-1993","        0.00","        0.00","        0.00","      674.39","-","-"
"04-Jun-1993","        0.00","        0.00","        0.00","      695.68","-","-"
"07-Jun-1993","        0.00","        0.00","        0.00","      714.68","-","-"
"08-Jun-1993","        0.00","        0.00","        0.00","      707.29","-","-"
"09-Jun-1993","        0.00","        0.00","        0.00","      701.90","-","-"
"10-Jun-1993","        0.00","        0.00","        0.00","      715.23","-","-"
"11-Jun-1993","        0.00","        0.00","        0.00","      715.76","-","-"
"14-Jun-1993","        0.00","        0.00","        0.00","      703.51","-","-"
"15-Jun-1993","        0.00","        0.00","        0.00","      689.74","-","-"
"16-Jun-1993","        0.00","        0.00","        0.00","      685.42","-","-"
"17-Jun-1993","        0.00","        0.00","        0.00","      668.41","-","-"
"18-Jun-1993","        0.00","        0.00","        0.00","      666.18","-","-"
"21-Jun-1993","        0.00","        0.00","        0.00","      663.20","-","-"
"22-Jun-1993","        0.00","        0.00","        0.00","      672.15","-","-"
"23-Jun-1993","        0.00","        0.00","        0.00","      668.54","-","-"
"24-Jun-1993","        0.00","        0.00","        0.00","      667.11","-","-"
"25-Jun-1993","        0.00","        0.00","        0.00","      661.25","-","-"
"28-Jun-1993","        0.00","        0.00","        0.00","      648.48","-","-"
"29-Jun-1993","        0.00","        0.00","        0.00","      661.75","-","-"
"30-Jun-1993","        0.00","        0.00","        0.00","      667.50","-","-"
"02-Jul-1993","        0.00","        0.00","        0.00","      668.67","-","-"
"05-Jul-1993","        0.00","        0.00","        0.00","      674.70","-","-"
"06-Jul-1993","        0.00","        0.00","        0.00","      675.63","-","-"
"07-Jul-1993","        0.00","        0.00","        0.00","      674.59","-","-"
"08-Jul-1993","        0.00","        0.00","        0.00","      667.04","-","-"
"09-Jul-1993","        0.00","        0.00","        0.00","      666.10","-","-"
"12-Jul-1993","        0.00","        0.00","        0.00","      656.59","-","-"
"13-Jul-1993","        0.00","        0.00","        0.00","      657.60","-","-"
"14-Jul-1993","        0.00","        0.00","        0.00","      657.68","-","-"
"15-Jul-1993","        0.00","        0.00","        0.00","      650.69","-","-"
"16-Jul-1993","        0.00","        0.00","        0.00","      645.75","-","-"
"19-Jul-1993","        0.00","        0.00","        0.00","      637.04","-","-"
"20-Jul-1993","        0.00","        0.00","        0.00","      638.96","-","-"
"21-Jul-1993","        0.00","        0.00","        0.00","      644.03","-","-"
"22-Jul-1993","        0.00","        0.00","        0.00","      655.49","-","-"
"26-Jul-1993","        0.00","        0.00","        0.00","      657.45","-","-"
"27-Jul-1993","        0.00","        0.00","        0.00","      659.03","-","-"
"28-Jul-1993","        0.00","        0.00","        0.00","      655.97","-","-"
"29-Jul-1993","        0.00","        0.00","        0.00","      678.24","-","-"
"30-Jul-1993","        0.00","        0.00","        0.00","      706.83","-","-"
"03-Aug-1993","        0.00","        0.00","        0.00","      713.06","-","-"
"04-Aug-1993","        0.00","        0.00","        0.00","      711.23","-","-"
"06-Aug-1993","        0.00","        0.00","        0.00","      726.76","-","-"
"10-Aug-1993","        0.00","        0.00","        0.00","      724.37","-","-"
"12-Aug-1993","        0.00","        0.00","        0.00","      746.15","-","-"
"13-Aug-1993","        0.00","        0.00","        0.00","      754.50","-","-"
"16-Aug-1993","        0.00","        0.00","        0.00","      760.13","-","-"
"17-Aug-1993","        0.00","        0.00","        0.00","      782.82","-","-"
"18-Aug-1993","        0.00","        0.00","        0.00","      801.62","-","-"
"19-Aug-1993","        0.00","        0.00","        0.00","      826.17","-","-"
"20-Aug-1993","        0.00","        0.00","        0.00","      833.27","-","-"
"24-Aug-1993","        0.00","        0.00","        0.00","      807.77","-","-"
"25-Aug-1993","        0.00","        0.00","        0.00","      812.74","-","-"
"26-Aug-1993","        0.00","        0.00","        0.00","      808.76","-","-"
"27-Aug-1993","        0.00","        0.00","        0.00","      809.37","-","-"
